Id,Predicted
25561,1
10988,1
6549,0
30130,1
38343,1
40998,1
44347,1
41322,1
20480,1
24334,0
9502,1
41428,1
48402,1
16537,1
6160,0
35239,0
15850,1
20864,0
38741,0
6339,0
7363,0
12696,1
22900,1
32661,1
35707,0
36978,1
38519,0
2511,1
39949,1
41531,1
32663,1
26503,1
23224,0
10411,0
36362,1
38062,1
41524,1
1178,1
28790,1
39302,0
11441,0
24293,1
14847,0
19170,0
47618,0
40492,1
45640,1
9596,1
33811,0
10459,1
16480,1
43725,0
40830,1
42933,1
12820,1
12055,0
30007,1
48628,0
15072,0
16433,0
48366,0
37945,1
35361,0
4347,0
30921,0
35679,0
6852,1
39182,1
14671,0
47074,0
31651,1
22021,0
29344,0
27954,1
46627,0
2310,1
16481,1
33652,0
30603,1
44591,1
19895,0
19843,0
15094,0
37700,1
34391,0
17259,1
40698,0
29422,0
2561,1
30737,0
6263,0
19658,0
12619,1
19330,1
19042,1
32823,0
39272,0
31899,0
3646,0
14704,0
1438,0
36703,0
15867,0
24152,1
48072,1
2117,1
10433,0
32144,1
20679,0
14289,0
13799,0
20850,0
16777,0
24962,0
29132,0
35529,1
22692,1
18165,0
37134,0
41916,1
2169,0
12364,0
37926,1
20151,1
27151,1
26752,1
43946,0
16430,1
40928,1
12443,0
18230,1
23102,0
3739,1
749,0
30530,1
19677,0
13444,0
23136,0
43034,1
46410,1
34344,1
47807,0
15705,1
34187,0
29044,0
47862,1
47343,0
47122,1
10004,1
10025,0
40865,0
42095,0
11032,0
14586,0
38501,1
25209,1
28695,1
24,1
42582,0
10857,0
47061,1
6799,0
44699,0
39263,1
10028,1
30766,0
20038,1
22429,1
25865,1
39582,0
23164,1
28958,1
27460,1
3025,0
18811,0
25657,0
36194,0
42683,1
8753,0
9160,0
27051,1
34537,0
23940,0
33966,0
4070,0
4674,0
7709,1
36688,0
35932,0
37225,0
16649,0
39391,0
46490,1
40098,0
45091,0
28973,0
31264,0
22359,1
3469,1
31459,1
6167,0
28348,0
5751,0
11842,1
4999,0
14634,0
19853,1
41263,1
4968,1
32088,0
3388,0
13398,1
7045,1
43165,1
14405,1
23670,0
39187,1
19729,1
14488,1
48481,0
3984,0
5106,1
4434,0
48458,0
8659,0
18410,0
22345,1
24008,0
22720,1
18258,0
29868,1
11963,1
37250,1
39626,0
37316,0
17562,0
3937,0
23822,1
9243,1
20707,0
21685,0
7813,0
10307,0
39633,0
21062,0
7144,1
1339,1
9560,1
28829,0
30559,0
15990,1
25949,0
5286,1
13435,1
33055,1
32251,1
37129,0
28390,1
9675,0
21071,0
24964,1
42200,0
42865,0
5764,0
34877,0
16714,0
12509,0
32926,0
10406,1
35428,0
33004,1
8631,0
29954,1
12485,0
18935,1
28261,0
25921,1
39112,0
39477,1
23796,0
43218,0
18658,0
2360,0
20541,0
44270,0
17626,0
15938,1
16457,0
22123,0
13482,1
30704,1
31749,1
23061,0
26867,0
26895,1
21568,1
23052,1
