Id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
25561,49,Self-emp-not-inc,225456,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States
10988,28,Private,134813,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States
6549,50,Private,177896,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
30130,26,Private,106950,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States
38343,52,Local-gov,266138,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States
40998,43,Private,33126,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
44347,51,Private,192182,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,40,United-States
41322,32,Private,190511,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
20480,59,Private,165922,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States
24334,29,Private,138190,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,1138,40,United-States
9502,52,Private,175714,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States
41428,46,Private,343579,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,77,United-States
48402,55,Self-emp-not-inc,278228,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States
16537,34,Private,93213,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States
6160,66,Private,151227,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
35239,32,Self-emp-not-inc,198739,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
15850,28,Private,339372,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,1408,40,United-States
20864,27,Private,89598,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,60,United-States
38741,31,Private,187215,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,El-Salvador
6339,52,Private,208302,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,36,United-States
