Id,Predicted
0,1
2,0
3,1
4,0
5,0
6,0
7,0
8,0
10,1
11,0
15,1
16,0
19,0
20,1
21,1
22,0
25,0
26,0
27,1
28,0
30,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
46,0
47,0
48,0
49,0
53,0
54,0
57,0
58,0
60,0
61,0
63,0
65,1
66,0
71,0
73,0
74,0
75,0
76,0
78,0
79,1
80,0
81,0
82,1
83,0
84,0
86,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,0
105,0
107,0
108,0
109,0
110,0
111,0
113,1
116,0
118,0
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,1
135,0
137,0
138,0
139,0
140,0
143,0
144,0
145,0
146,0
148,0
149,0
151,0
154,0
156,0
158,0
161,0
162,1
163,0
165,0
166,1
167,0
168,0
173,0
175,0
179,0
180,0
181,0
182,0
183,0
185,0
187,1
190,0
193,0
194,0
195,0
196,0
200,1
202,1
203,0
204,0
206,0
207,0
208,0
209,0
210,0
212,0
213,1
214,1
215,0
217,1
218,0
219,0
221,0
222,0
223,1
224,0
226,1
227,1
228,0
229,0
230,0
231,0
233,0
236,0
238,1
241,0
243,0
244,1
245,0
246,0
248,0
249,1
250,0
251,0
253,1
255,0
256,0
257,0
258,1
259,0
261,1
262,0
263,0
265,0
267,1
269,0
270,0
273,1
274,0
275,1
276,0
277,0
279,1
280,0
281,0
282,0
285,0
286,1
288,0
289,0
290,0
291,0
292,1
293,0
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,1
314,0
315,1
317,0
321,1
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
333,1
334,0
336,0
338,0
339,1
340,0
343,0
344,0
345,0
346,0
348,0
349,0
352,0
353,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
369,0
370,0
372,1
374,0
375,1
376,0
377,0
378,0
379,0
382,0
385,0
387,0
388,0
389,0
390,0
392,1
393,1
396,1
398,0
399,0
400,0
401,0
402,0
403,0
405,1
406,0
407,0
409,0
410,0
411,0
412,0
415,0
416,0
417,0
418,0
420,0
424,1
425,1
427,0
428,0
430,0
431,1
433,0
434,0
435,0
438,0
441,0
442,0
443,0
445,1
446,1
447,0
448,0
449,0
451,0
452,1
453,0
454,0
455,0
457,0
458,1
459,1
460,0
461,0
462,1
463,0
465,0
466,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
479,0
480,1
481,0
482,0
485,1
487,1
489,1
491,0
493,1
494,0
495,0
497,1
498,0
499,0
500,0
502,0
503,0
505,0
506,0
508,0
509,1
510,1
512,0
515,1
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
530,1
531,0
533,0
534,0
536,0
537,0
539,0
540,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
553,1
555,0
559,1
560,0
562,1
564,0
565,1
569,0
570,0
571,1
572,0
573,1
574,0
575,0
576,0
577,1
578,0
580,0
581,0
582,0
583,1
584,0
586,0
587,0
588,0
589,0
590,0
592,0
593,0
594,0
595,0
596,1
597,1
598,1
600,1
601,0
604,0
605,1
606,0
607,0
609,0
610,0
611,0
612,0
615,0
616,1
619,0
622,0
623,0
624,1
625,0
627,0
631,1
632,0
633,1
636,1
637,0
639,0
640,1
641,1
642,0
644,0
648,1
650,0
651,1
653,0
654,0
655,0
656,0
658,1
659,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
674,1
675,0
676,0
677,0
679,0
682,0
683,1
684,0
685,0
686,0
688,1
690,0
693,0
694,0
695,0
696,0
697,1
698,0
699,0
701,1
703,0
704,1
705,0
706,0
707,1
708,0
710,0
711,0
712,1
713,1
714,0
715,1
716,1
717,0
718,0
719,0
721,0
724,0
725,0
726,0
727,0
729,0
731,0
732,1
733,0
734,0
735,1
739,0
743,0
744,0
746,1
747,0
748,0
750,0
751,0
753,1
755,0
756,0
757,0
758,0
760,0
761,0
762,0
763,0
766,0
767,0
769,0
770,0
774,0
775,0
776,0
777,1
780,1
782,0
783,1
784,0
786,0
787,1
791,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
801,0
804,0
806,0
807,0
808,0
810,0
811,0
812,0
813,0
816,0
818,0
820,0
822,0
823,0
824,0
825,0
826,0
827,0
829,0
831,0
832,1
833,0
834,0
835,1
836,1
837,0
838,0
839,0
841,0
842,0
843,0
844,0
845,0
846,1
847,1
848,0
849,1
851,0
853,0
856,0
858,0
859,1
860,1
861,0
862,1
863,1
865,0
867,1
868,1
869,0
870,0
871,0
874,0
875,0
876,0
878,0
879,0
880,0
881,1
882,0
883,0
886,0
887,1
888,0
889,1
890,0
891,0
894,1
896,0
897,0
898,0
899,0
900,0
901,1
902,1
903,1
905,0
907,0
908,0
910,1
912,0
913,0
914,0
915,0
917,0
918,0
919,1
920,1
921,1
923,1
924,0
926,0
927,0
929,0
930,0
931,0
932,1
935,0
936,0
938,0
940,0
941,0
942,0
943,0
944,0
947,1
948,0
949,0
950,0
951,0
952,1
954,0
955,0
958,0
959,0
960,1
961,0
963,0
964,0
966,1
967,0
968,1
969,0
974,1
975,0
977,1
978,1
979,1
983,0
985,0
986,0
988,1
990,0
991,1
993,0
994,0
996,0
997,0
998,0
999,0
1000,1
1001,0
1002,0
1004,1
1006,0
1007,0
1009,0
1013,0
1014,0
1015,1
1016,0
1020,1
1021,0
1023,0
1024,0
1026,0
1027,0
1028,0
1030,0
1033,1
1034,1
1035,1
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1050,1
1052,1
1053,0
1054,1
1055,0
1057,0
1060,0
1061,1
1062,0
1066,1
1067,0
1068,0
1069,0
1070,1
1071,0
1072,0
1074,1
1076,1
1077,0
1078,0
1079,0
1080,0
1081,0
1083,0
1084,0
1087,0
1089,0
1090,1
1091,0
1092,0
1094,1
1095,0
1096,0
1097,0
1098,0
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1107,0
1109,0
1112,0
1113,0
1117,0
1118,0
1119,1
1120,1
1121,1
1122,1
1123,1
1124,0
1125,0
1128,0
1129,0
1130,0
